time,ax,ay,az,aT
198.361215,0.0030,-0.0042,-0.0136,0.015
199.362369,0.0162,-0.0695,-0.0114,0.072
200.362241,0.0427,0.0109,-0.0298,0.053
201.363192,0.0130,0.0486,0.0151,0.053
202.363156,-0.0221,-0.0222,-0.0081,0.032
203.364923,0.0229,0.0048,-0.0037,0.024
204.364817,-0.0284,0.0076,-0.0053,0.030
205.375790,-0.0378,0.0128,-0.0116,0.042
206.377539,0.0147,-0.0104,-0.0096,0.020
207.366479,0.0446,0.0246,-0.0066,0.051
208.369326,-0.0322,-0.0182,-0.0192,0.042
209.367381,0.0089,-0.0048,-0.0194,0.022
210.367721,-0.0012,0.0117,-0.0023,0.012
211.368604,-0.0609,-0.0499,0.0059,0.079
212.369402,-0.0222,-0.0147,-0.0384,0.047
213.369324,0.0017,-0.0091,-0.0157,0.018
214.369925,0.0330,0.0062,-0.0130,0.036
215.376637,-0.0006,-0.0110,-0.0154,0.019
216.376826,-0.0336,0.0139,-0.0196,0.041
217.391805,0.0310,-0.0088,-0.0236,0.040
218.373413,-0.0216,-0.0170,0.0075,0.029
219.373748,-0.0927,-0.0259,0.0134,0.097
220.374505,0.0160,0.0004,-0.0001,0.016
221.375396,-0.0153,0.0328,-0.0019,0.036
222.376638,-0.0051,-0.0129,-0.0175,0.022
223.376883,0.0239,0.0248,-0.0177,0.039
224.377419,-0.0117,-0.0409,-0.0306,0.052
225.377832,0.0012,-0.0108,0.0006,0.011
226.378686,0.0272,0.0053,-0.0128,0.031
227.379788,-0.0106,0.0231,-0.0146,0.029
228.384926,0.0240,0.0283,-0.0219,0.043
229.396081,0.0342,-0.0042,-0.0293,0.045
230.402432,0.0530,0.0274,-0.0081,0.060
231.382560,0.0213,0.0297,-0.0144,0.039
232.382476,-0.0216,0.0660,0.0034,0.070
233.384828,0.0332,0.0337,-0.0031,0.047
234.385721,0.0172,0.0130,-0.0149,0.026
235.385937,-0.0242,0.0011,-0.0129,0.027
236.387052,0.0064,-0.0542,-0.0190,0.058
237.387434,-0.0437,-0.0187,-0.0037,0.048
238.388478,-0.1063,0.0222,0.0085,0.109
239.396446,-0.0440,-0.0454,-0.0332,0.071
240.403594,0.0130,0.0963,-0.0397,0.105
241.411194,-0.0152,0.0405,-0.0085,0.044
242.392290,-0.0070,-0.0217,-0.0192,0.030
243.393179,-0.0196,0.0258,-0.0184,0.037
244.393875,-0.0083,-0.0438,-0.0326,0.055
245.394913,0.0535,0.0545,-0.0166,0.078
246.394917,0.0347,-0.0041,-0.0164,0.039
247.396006,0.0130,-0.0077,-0.0094,0.018
248.396435,-0.0584,0.0105,0.0063,0.060
249.397066,-0.0235,-0.0211,-0.0141,0.035
250.397851,0.0293,-0.0104,-0.0185,0.036
251.399744,0.0388,0.0178,-0.0275,0.051
252.402202,0.0165,-0.0093,0.0038,0.019
253.409879,-0.0375,-0.0142,-0.0060,0.041
254.407836,-0.0006,0.0162,-0.0323,0.036
255.402518,0.0039,-0.0583,-0.0227,0.063
256.403010,-0.0057,-0.0043,-0.0154,0.017
257.403116,0.0393,-0.0061,-0.0253,0.047
258.403625,-0.0443,-0.0398,-0.0185,0.062
259.404218,-0.0047,-0.0055,-0.0089,0.011
260.406834,0.0413,-0.0147,-0.0036,0.044
261.411442,0.0235,-0.0120,-0.0216,0.034
262.425357,0.0076,-0.0216,-0.0286,0.037
263.419075,-0.0299,0.0156,-0.0172,0.038
264.419754,-0.0468,-0.0187,0.0026,0.050
265.419956,-0.0235,-0.0004,-0.0175,0.029
266.421096,-0.0061,0.0140,-0.0147,0.021
267.421953,0.0438,-0.0325,-0.0197,0.058
268.423660,-0.0298,-0.0128,-0.0325,0.046
269.429236,0.0162,0.0029,-0.0098,0.019
270.436976,0.0493,-0.0623,-0.0236,0.083
271.443882,0.0039,0.0313,-0.0093,0.033
272.425818,-0.0086,0.0310,0.0209,0.038
273.426131,-0.0090,0.0651,-0.0035,0.066
274.427085,-0.0418,-0.0534,0.0166,0.070
275.428406,0.0060,0.0352,-0.0242,0.043
276.428601,-0.0130,-0.0498,-0.0179,0.055
277.429165,-0.0035,0.0229,-0.0130,0.027
278.429773,0.1200,0.0557,-0.0280,0.135
279.430898,-0.1522,-0.1361,0.0148,0.205
280.431758,-0.0516,-0.1602,-0.0083,0.169
281.433742,-0.0156,0.0125,-0.0152,0.025
282.434983,-0.0725,0.0193,0.0103,0.076
283.450661,-0.0068,0.0259,0.0037,0.027
284.443800,0.0037,-0.0416,-0.0048,0.042
285.434358,0.0300,-0.0443,-0.0063,0.054
286.435780,0.0183,-0.0033,0.0015,0.019
287.436752,0.0328,-0.0160,-0.0131,0.039
288.437254,-0.0329,-0.0308,-0.0425,0.062
289.438511,0.0388,-0.0078,-0.0725,0.083
290.438419,-0.0027,-0.0086,-0.0220,0.024
291.438686,-0.0611,-0.0286,-0.0052,0.068
292.439114,-0.0227,-0.0024,-0.0072,0.024
293.442493,-0.0251,-0.0342,0.0078,0.043
294.443227,0.0077,-0.0076,-0.0164,0.020
295.444507,-0.0373,-0.1062,-0.0111,0.113
296.444850,0.0137,-0.0028,-0.0157,0.021
297.455079,-0.0054,0.0050,-0.0219,0.023
298.464667,-0.0209,-0.0144,-0.0509,0.057
299.447252,-0.0623,0.0099,-0.0185,0.066
300.447505,0.0389,-0.0156,-0.0177,0.045
301.448945,-0.0683,0.0057,0.0254,0.073
302.449953,-0.0137,0.0030,-0.0091,0.017
303.450015,-0.0554,-0.0015,-0.0020,0.055
304.450719,0.0414,0.0038,-0.0243,0.048
305.450963,-0.0147,0.0277,-0.0153,0.035
306.451436,-0.0511,0.0420,0.0071,0.066
307.451640,0.0535,-0.0085,-0.0412,0.068
308.452699,-0.0391,-0.0193,-0.0142,0.046
309.453796,-0.0230,0.0163,-0.0059,0.029
310.453597,0.0687,-0.0049,-0.0252,0.073
311.464596,0.0135,-0.0137,-0.0037,0.020
312.471756,-0.0061,-0.0231,-0.0048,0.024
313.455067,-0.0484,-0.0076,0.0102,0.050
314.474468,-0.0066,-0.0391,0.0039,0.040
315.455696,-0.0607,0.0018,-0.0104,0.062
316.455802,-0.0047,-0.0288,-0.0299,0.042
317.457063,0.0175,0.0280,-0.0372,0.050
318.459679,-0.0506,0.0065,-0.0216,0.055
319.460616,-0.0679,0.0245,-0.0078,0.073
320.460731,-0.0102,0.0318,-0.0035,0.034
321.461413,-0.0733,0.0062,0.0299,0.079
322.462451,0.0147,-0.0398,0.0000,0.042
323.462777,-0.0234,0.0213,0.0054,0.032
324.463831,-0.0091,-0.0021,-0.0396,0.041
325.469883,-0.0396,0.0208,-0.0073,0.045
326.470619,0.0308,-0.0303,-0.0194,0.047
327.487173,0.0090,-0.0018,0.0042,0.010
328.466032,0.0006,0.0026,-0.0321,0.032
329.466107,-0.0144,0.0039,0.0014,0.015
330.466481,0.0008,0.0067,-0.0030,0.007
