time,ax,ay,az,aT
223.895300,-0.1537,0.0569,-0.3596,0.395
224.889677,-0.4901,0.0872,0.0302,0.499
225.876548,-0.0594,-0.1240,0.6104,0.626
226.878278,0.0942,-0.1122,-0.3669,0.395
227.878720,0.0310,0.3849,-0.4537,0.596
228.879140,-0.0567,-0.0634,0.2115,0.228
229.879862,0.0147,0.2866,0.2260,0.365
230.880728,-0.1773,0.2108,-0.1167,0.299
231.881401,-0.1230,0.1310,0.0601,0.189
232.882875,0.1394,0.0488,-0.0352,0.152
233.883676,0.0442,-0.0465,0.0731,0.097
234.883300,0.0503,0.1757,-0.1707,0.250
235.886328,-0.0858,0.1212,-0.2109,0.258
236.894944,-0.1172,0.0429,-0.1321,0.182
237.910999,-0.0766,-0.0261,-0.2126,0.227
238.909986,0.0876,0.0164,-0.0987,0.133
239.889797,0.0173,-0.0386,-0.3885,0.391
240.890370,-0.0355,0.0540,-0.1887,0.199
241.891093,-0.0658,-0.0710,0.1490,0.178
242.891607,0.1408,-0.0432,0.1845,0.236
243.892540,-0.2184,0.0331,-0.0351,0.224
244.892644,-0.0104,-0.0049,-0.1360,0.137
245.894289,-0.0224,0.0948,-0.0211,0.100
246.894589,0.0987,0.0302,-0.2863,0.304
247.895657,-0.0001,0.0115,0.0934,0.094
248.896307,0.0958,-0.0461,-0.2335,0.257
249.897270,0.0290,0.0325,0.0153,0.046
250.898306,0.2048,0.0458,0.2308,0.312
251.899433,-0.0697,0.0473,0.1011,0.132
252.903850,0.0173,0.0220,0.1110,0.114
253.904240,0.0538,0.0498,-0.0584,0.094
254.914929,-0.1326,-0.0782,0.1539,0.218
255.930072,0.0128,-0.0769,-0.0781,0.110
256.905627,-0.1088,-0.0201,-0.0474,0.120
257.906451,-0.1003,-0.0081,0.0775,0.127
258.907820,-0.0374,0.0002,-0.1568,0.161
259.908606,0.1084,0.0098,0.0298,0.113
260.908807,-0.0471,-0.0086,-0.4026,0.405
261.909903,-0.2447,0.0445,0.0570,0.255
262.910845,-0.0852,-0.0656,0.0871,0.138
263.922180,-0.0506,0.0522,0.0462,0.086
264.912677,-0.0283,-0.0603,-0.1768,0.189
265.932551,0.0925,-0.0705,0.1581,0.196
266.918112,-0.1492,-0.0447,-0.0326,0.159
267.926266,-0.0523,-0.0255,0.0979,0.114
268.930827,0.1380,0.0231,-0.1605,0.213
269.915699,0.0271,-0.0226,-0.0458,0.058
270.916483,0.0876,0.0033,-0.0389,0.096
271.916749,-0.0772,0.0048,-0.1430,0.163
272.917121,0.0878,-0.0602,-0.1023,0.148
273.917739,0.0246,-0.0053,0.0397,0.047
274.919495,0.0090,0.0123,-0.1359,0.137
275.921281,-0.0151,-0.0262,0.0154,0.034
276.922097,-0.0206,-0.0160,0.0747,0.079
277.930116,0.0103,-0.0286,-0.0503,0.059
278.935666,-0.2206,0.0142,0.0091,0.221
279.945388,0.0069,0.1150,0.0814,0.141
280.952784,0.0150,0.0683,-0.0867,0.111
281.925532,-0.2017,-0.0780,0.1525,0.265
282.926351,0.0861,0.0191,-0.1531,0.177
283.926670,0.1299,0.0164,-0.2899,0.318
284.927687,0.0675,0.0507,0.0585,0.103
285.928025,-0.1002,0.0026,-0.0643,0.119
286.928708,-0.0792,0.0341,0.1402,0.165
287.929092,-0.0366,-0.0163,0.0140,0.042
288.929620,-0.0670,-0.0873,-0.0647,0.128
289.933466,-0.0074,-0.0232,0.0644,0.069
290.935527,0.0891,0.0296,-0.0604,0.112
291.944911,0.0750,0.0146,-0.0107,0.077
292.953034,0.0007,0.0025,-0.0771,0.077
293.962993,-0.0110,0.0121,-0.0622,0.064
294.936406,0.0868,0.0572,-0.1430,0.177
295.937479,-0.1160,0.0147,-0.0692,0.136
296.938215,-0.1020,0.0588,0.0783,0.141
297.938784,-0.1517,-0.0553,-0.0342,0.165
298.939306,0.0109,0.0063,0.0852,0.086
299.939736,-0.0060,-0.0114,-0.0203,0.024
300.940872,-0.0680,-0.0029,-0.0989,0.120
301.941892,-0.1637,-0.0182,0.0523,0.173
302.942727,-0.1155,0.0314,-0.1464,0.189
303.943635,-0.0905,0.0480,-0.0882,0.135
304.947428,-0.0335,-0.0130,0.1118,0.117
305.955393,-0.1708,-0.0075,-0.0496,0.178
306.976583,-0.1405,-0.0376,-0.0005,0.145
307.947790,-0.0212,-0.0183,0.1004,0.104
308.948384,0.0264,0.0210,-0.0278,0.044
309.948843,0.0082,0.0313,-0.0284,0.043
310.949974,-0.1422,0.0101,0.1625,0.216
311.952077,-0.1925,-0.0212,0.1579,0.250
312.952328,0.0533,-0.0036,0.1044,0.117
313.952817,-0.0116,-0.0003,0.0382,0.040
314.953355,-0.1912,0.0006,-0.1344,0.234
315.954274,0.1345,0.1272,-0.2075,0.278
316.954487,0.0975,-0.0993,-0.1823,0.229
317.955110,-0.0239,0.1674,0.1071,0.200
318.957315,-0.0661,0.4199,-0.1745,0.460
319.956656,-0.0808,0.0042,0.0061,0.081
320.967528,-0.0992,-0.1250,-0.1652,0.230
321.957923,0.0889,0.0015,-0.0559,0.105
322.958664,0.2257,0.0537,-0.2417,0.335
323.960458,-0.0482,0.0842,0.2074,0.229
324.960820,0.3866,0.0075,0.1011,0.400
325.961694,-0.4330,-0.0631,0.2352,0.497
326.966882,-0.0389,0.0258,-0.1597,0.166
327.965163,-0.0017,0.0319,0.0921,0.097
328.965687,-0.3635,0.0414,0.0206,0.366
329.966339,-0.0301,0.0285,-0.0512,0.066
330.966546,0.0298,-0.1036,0.2690,0.290
331.967869,-0.0200,-0.1453,-0.3595,0.388
332.968392,0.0784,-0.0062,-0.2389,0.251
333.973866,-0.1869,0.0928,-0.0167,0.209
334.986044,-0.0782,-0.0065,-0.0749,0.108
335.984664,0.0745,0.0215,-0.1585,0.176
337.001813,0.0393,-0.0649,0.0667,0.101
337.977075,0.1117,0.0605,0.1225,0.176
338.977903,0.0226,-0.0052,0.0190,0.030
339.978039,0.0171,-0.0179,0.0231,0.034
340.979132,-0.0473,-0.0092,0.0385,0.062
341.979629,0.0586,0.0046,-0.0058,0.059
342.980289,-0.0339,-0.0072,-0.0281,0.045
343.980722,-0.0960,-0.0398,-0.0473,0.114
344.981712,0.0991,-0.0002,0.0677,0.120
345.984219,0.0182,0.0235,0.0056,0.030
346.985223,0.3570,0.1655,-0.0479,0.396
347.988345,0.0574,-0.0957,0.1286,0.170
348.993639,0.0864,0.0106,-0.0737,0.114
350.002761,0.0704,0.0482,-0.0869,0.122
351.002422,0.1262,-0.0038,0.0251,0.129
352.017617,-0.1502,-0.0086,0.0818,0.171
352.996720,0.0332,0.0306,0.0700,0.083
353.997496,-0.1988,0.0189,0.1409,0.244
354.997838,-0.0588,0.0069,0.0238,0.064
355.998972,0.0854,0.0040,-0.1129,0.142
356.999420,0.0321,-0.0005,0.1136,0.118
358.000231,-0.0568,0.0194,0.0788,0.099
359.000689,0.0446,0.0123,-0.0013,0.046
360.001589,-0.0007,0.0339,-0.0933,0.099
361.002320,-0.0003,0.0041,-0.0013,0.004
362.002898,0.0105,0.0047,-0.0353,0.037
363.015025,-0.0450,-0.0242,-0.0394,0.065
364.021573,-0.0122,-0.0083,-0.1475,0.148
365.005488,-0.0554,0.0504,-0.0321,0.082
366.004946,-0.0535,0.0098,-0.1298,0.141
367.005271,0.1381,0.0409,-0.0095,0.144
368.005888,0.0257,0.0126,0.1163,0.120
369.007030,-0.0304,0.0997,-0.0079,0.105
370.007451,0.1168,0.0446,-0.0744,0.145
371.008375,-0.0283,-0.0292,0.0494,0.064
372.008790,-0.0411,0.0500,0.0708,0.096
373.009028,-0.1322,-0.0173,0.1582,0.207
374.009602,-0.0915,0.1072,0.0841,0.164
375.010809,0.0186,-0.0140,0.1528,0.155
376.011257,-0.0781,0.0518,0.1053,0.141
377.015239,-0.2539,0.0013,-0.0651,0.262
378.027148,0.1416,0.0085,0.0991,0.173
379.030158,0.0116,0.0292,-0.0653,0.072
380.018945,0.0537,0.0229,0.1274,0.140
381.014421,-0.0480,-0.0595,-0.0522,0.093
382.014946,-0.0448,-0.0198,-0.0642,0.081
383.015420,0.0139,0.0292,0.0220,0.039
384.015741,-0.1172,-0.0217,-0.1199,0.169
385.016523,0.6429,-0.7421,-0.4607,1.085
386.018089,-0.0135,0.0374,-0.1286,0.135
387.018526,-0.0287,0.0263,-0.0181,0.043
388.018968,-0.0580,-0.0108,-0.1833,0.193
389.023902,0.0046,0.0618,0.0848,0.105
390.041593,-0.0236,0.0777,-0.3317,0.341
391.021475,0.0556,-0.0455,0.2656,0.275
392.022021,0.2345,-0.0111,0.1383,0.272
393.022788,0.0097,0.0538,-0.0109,0.056
394.023343,0.1487,-0.0765,0.2324,0.286
395.023758,-0.2338,0.0507,0.3439,0.419
396.024260,0.2335,-0.0545,-0.0309,0.242
397.024494,-0.0269,-0.0193,0.1642,0.167
398.025874,0.0048,-0.0385,0.3293,0.332
399.026116,-0.0514,-0.0431,-0.0590,0.089
400.031695,-0.4340,-0.5811,0.1557,0.742
401.030291,0.1976,0.0373,0.0512,0.207
402.045836,0.3045,0.0549,0.0336,0.311
403.045351,0.0039,-0.0321,0.1654,0.169
404.030122,-0.0296,-0.0389,0.0298,0.057
405.030906,0.1072,-0.0399,-0.0438,0.122
406.031647,0.0442,0.0456,-0.0994,0.118
407.032637,-0.0027,-0.0024,0.0213,0.022
408.033866,0.0480,0.0506,0.0831,0.108
