time,ax,ay,az,aT
186.277558,-0.0351,0.0443,-0.0043,0.057
187.260090,-0.0158,0.0504,0.0112,0.054
188.261274,0.0829,0.0253,-0.0318,0.092
189.261831,-0.0601,0.1884,-0.0348,0.201
190.263209,-0.0701,0.0369,0.0096,0.080
191.264721,0.1405,-0.0069,-0.0296,0.144
192.265066,0.0127,-0.1003,0.0028,0.101
193.266105,0.0022,-0.0185,-0.0131,0.023
194.267940,0.0036,0.0209,-0.0152,0.026
195.272755,-0.0507,0.0091,-0.0081,0.052
196.280195,0.0342,0.0274,0.0057,0.044
197.289085,-0.0013,-0.0276,-0.0075,0.029
198.295565,-0.0044,-0.0260,-0.0111,0.029
199.305497,-0.0022,0.0470,-0.0093,0.048
200.277674,-0.0047,0.0256,-0.0122,0.029
201.278950,-0.0053,0.0307,-0.0011,0.031
202.279328,-0.0183,0.0137,-0.0107,0.025
203.280152,-0.0141,0.0204,0.0034,0.025
204.280781,-0.0073,-0.0110,-0.0231,0.027
205.281103,-0.0070,0.0050,-0.0102,0.013
206.281874,-0.0074,0.0221,-0.0128,0.027
207.283044,0.0010,-0.0110,-0.0398,0.041
208.283295,-0.0292,0.0317,0.0029,0.043
209.286989,-0.0152,0.0406,0.0077,0.044
210.295690,0.0049,0.0082,-0.0149,0.018
211.285402,-0.0055,0.0088,-0.0138,0.017
212.286026,-0.0269,0.0153,0.0053,0.031
213.286725,-0.0069,0.0440,-0.0090,0.045
214.287631,0.0164,-0.0252,0.0011,0.030
215.288460,-0.0910,-0.0922,-0.0152,0.130
216.289550,0.0408,-0.0746,-0.0310,0.090
217.289368,-0.0835,0.0099,-0.0283,0.089
218.290335,0.0545,0.0650,-0.0568,0.102
219.291564,-0.0516,0.0017,0.0513,0.073
220.291816,-0.0596,0.0078,-0.0353,0.070
221.292384,-0.0602,-0.0484,-0.0110,0.078
222.292562,0.1009,0.0882,-0.1093,0.173
223.294992,-0.1104,0.0624,-0.0175,0.128
224.293588,0.0949,0.0921,-0.2240,0.260
225.314156,0.0032,0.1440,-0.0762,0.163
226.294987,-0.3788,-0.0318,-0.0879,0.390
227.295822,-0.1793,-0.1206,0.1449,0.260
228.295768,-0.0012,0.0276,0.0298,0.041
229.296746,-0.0302,-0.0250,0.0124,0.041
230.297391,0.0463,-0.0189,-0.0223,0.055
231.298338,-0.0950,0.0350,0.0076,0.102
232.297963,-0.1442,0.0741,-0.0016,0.162
233.300294,0.0388,0.0587,-0.0745,0.102
234.302424,0.0059,0.0514,-0.0268,0.058
235.305039,-0.0043,0.0721,-0.0850,0.112
236.310245,0.0605,0.0043,-0.0532,0.081
237.319232,-0.0557,-0.0660,0.0689,0.110
238.327710,0.0554,0.0129,-0.0758,0.095
239.304772,0.0353,0.0137,-0.0054,0.038
240.305709,0.0632,-0.1196,-0.0619,0.149
241.305772,0.0570,0.0020,0.0501,0.076
242.306816,0.0277,-0.0176,0.0092,0.034
243.307211,-0.3967,0.2605,0.0314,0.476
244.307684,0.6881,-0.3726,-0.1039,0.789
245.309543,0.0467,-0.0717,-0.0642,0.107
246.310085,0.0601,0.0820,-0.1963,0.221
247.310628,0.0223,-0.0327,-0.0519,0.065
248.314528,0.1090,0.0144,-0.0837,0.138
249.322610,-0.0358,0.0425,0.0232,0.060
250.328852,0.1366,-0.1280,0.5055,0.539
251.337926,0.0475,0.0537,-0.1100,0.131
252.346416,-0.1309,0.0765,0.3081,0.343
253.318504,0.3988,0.0563,-0.2418,0.470
254.318618,-0.0442,-0.1117,0.0081,0.120
255.319568,-0.0517,0.0008,0.0770,0.093
256.319999,0.0434,0.0194,-0.1010,0.112
257.321473,-0.0013,0.0177,-0.0161,0.024
258.321826,0.0359,-0.0023,0.0120,0.038
259.322399,0.0181,-0.0075,-0.0229,0.030
260.322980,0.0047,-0.0109,0.0018,0.012
261.324915,-0.0264,0.0311,-0.0051,0.041
262.329381,0.0101,-0.0193,-0.0157,0.027
263.337748,-0.0134,-0.0080,0.0156,0.022
264.346200,0.0024,-0.0127,-0.0057,0.014
265.353062,-0.0041,-0.0225,-0.0109,0.025
266.328424,-0.0269,0.0183,-0.0158,0.036
267.329145,-0.0140,-0.0070,-0.0016,0.016
268.330397,-0.0118,-0.0118,0.0100,0.019
269.331278,-0.0182,-0.0217,0.0062,0.029
270.331747,0.0057,0.0288,-0.0152,0.033
271.332055,0.0048,-0.0125,-0.0370,0.039
272.332618,-0.0350,0.0233,0.0274,0.050
273.334007,-0.0204,-0.0184,0.0047,0.028
274.334671,-0.0046,-0.0107,-0.0203,0.023
275.334976,0.0060,-0.0058,-0.0079,0.011
276.335321,-0.0149,0.0122,-0.0125,0.023
277.336889,0.0061,-0.0136,-0.0501,0.052
278.342715,0.0191,0.0070,-0.0137,0.024
279.367244,0.0108,0.0009,-0.0099,0.015
280.350150,-0.0164,0.0254,-0.0045,0.031
281.340571,-0.0204,0.0021,-0.0274,0.034
282.341363,-0.0056,-0.0009,-0.0371,0.038
283.341862,-0.0011,-0.0021,-0.0249,0.025
284.342707,0.0025,-0.0064,-0.0149,0.016
285.343361,0.0465,0.0131,0.0034,0.048
286.346514,0.0465,-0.0250,-0.0160,0.055
287.351401,0.0187,0.0381,-0.0028,0.043
288.352382,0.0289,-0.0137,-0.0136,0.035
289.354294,-0.0580,0.0939,-0.0268,0.114
290.362242,-0.0082,0.0235,-0.0150,0.029
291.373144,0.0065,0.0192,-0.0335,0.039
292.354528,-0.0012,0.0095,-0.0231,0.025
293.355896,-0.0006,-0.0160,-0.0229,0.028
294.356636,-0.0086,0.0469,-0.0030,0.048
295.356924,0.0220,-0.0833,0.0155,0.088
296.358151,-0.0052,0.0054,-0.0127,0.015
297.358453,0.0023,-0.0264,-0.0530,0.059
298.359312,-0.0045,0.0468,-0.0024,0.047
299.359828,-0.0096,-0.0181,-0.0002,0.020
300.360529,0.0087,-0.0399,-0.0235,0.047
301.371280,0.0032,-0.0075,0.0048,0.010
302.378729,-0.0194,0.0213,-0.0195,0.035
303.371363,-0.0020,-0.0085,-0.0388,0.040
304.378665,-0.0059,0.0305,-0.0043,0.031
305.366797,-0.0058,0.0151,0.0007,0.016
306.366505,-0.0190,0.0263,0.0167,0.037
307.366830,-0.0132,-0.0040,-0.0282,0.031
308.367450,-0.0013,0.0247,-0.0205,0.032
309.367788,-0.0142,-0.0382,0.0057,0.041
310.368415,-0.0235,0.0078,-0.0410,0.048
311.369339,-0.0146,0.0170,-0.0058,0.023
312.371158,-0.0130,-0.0045,-0.0206,0.025
313.371926,-0.0127,0.0117,0.0009,0.017
314.374318,-0.0210,0.0152,0.0009,0.026
315.374877,-0.0052,-0.0133,-0.0298,0.033
316.377688,0.0021,0.0541,-0.0007,0.054
317.385879,-0.0022,-0.0071,-0.0076,0.011
318.398289,0.0054,0.0029,-0.0046,0.008
319.393992,-0.0164,-0.0132,-0.0038,0.021
320.411509,0.0015,0.0084,0.0028,0.009
321.385999,-0.0095,-0.0030,0.0031,0.010
322.386343,0.0158,0.0685,-0.0062,0.071
323.387185,-0.0035,0.0353,-0.0376,0.052
324.387016,0.0030,-0.0137,-0.0319,0.035
325.387798,-0.0279,0.0092,0.0051,0.030
326.388721,0.0096,-0.0057,-0.0046,0.012
